"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202211060atl","ZaccOl01","WR","Olamide Zaccheaus","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,19,0,15,0,0,0,0,0,0,"ATL","LAC",0,0,0,0,0,0,3.9,3.9,2.9,2.9,2.9,2.9,0,0,0,0,0,0,0,17,2,0,43,70,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","PruiMy00","TE","MyCole Pruitt","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,0,0,"ATL","LAC",0,0,0,0,0,0,1.6,1.6,1.1,1.1,1.1,1.1,0,0,0,0,0,0,0,5,1,0,18,30,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","WillAv02","RB","Avery Williams","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,"ATL","LAC",0,0,0,0,0,0,1.2,1.2,0.7,0.7,0.7,0.7,0,0,0,0,0,0,0,2,0,0,3,5,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","ByrdDa00","WR","Damiere Byrd","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ATL","LAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,29,48,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","CartDe02","WR","DeAndre Carter","LAC",0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,53,0,23,0,0,0,0,0,0,"LAC","ATL",0,0,0,0,0,0,10.3,10.3,7.8,7.8,7.8,7.8,0,0,0,0,0,0,0,70.8,25,0,57,83,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","McKiTr00","TE","Tre' McKitty","LAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LAC","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,35,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","MoorJa02","WR","Jason Moore","LAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LAC","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","HorvZa00","RB","Zander Horvath","LAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LAC","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","HessPa00","TE","Parker Hesse","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ATL","LAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,48,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","SmitKe03","FB","Keith Smith","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ATL","LAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","FranFe00","TE","Feleipe Franks","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ATL","LAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","MichSo00","RB","Sony Michel","LAC",0,0,0,0,0,0,0,0,0,1,12,0,12,1,0,0,0,0,0,0,1,1,0,1,"LAC","ATL",0,0,0,0,0,0,1.2,1.2,1.2,1.2,1.2,1.2,0,0,0,0,9,3,0,4,0,1,11,16,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
